NAME,UUID,DATE,WORKING,START,END
NB Jacksonville,0774711_001,01/01/2018,N,,
NB Jacksonville,0774711_001,04/16/2018,Y,10:00:00,18:00:00
NB Jacksonville,0774711_001,05/29/2017,Y,10:00:00,18:00:00
NB Jacksonville,0774711_001,07/04/2017,N,,
NB Jacksonville,0774711_001,09/04/2017,Y,10:00:00,18:00:00
NB Jacksonville,0774711_001,11/23/2017,N,,
NB Jacksonville,0774711_001,12/24/2017,Y,10:00:00,18:00:00
NB Jacksonville,0774711_001,12/25/2017,N,,
NB Jacksonville,0774711_001,12/31/2017,Y,10:00:00,18:00:00
NB Branson,0901658_001,01/01/2018,Y,10:00:00,18:00:00
NB Branson,0901658_001,04/16/2018,N,,
NB Branson,0901658_001,05/29/2017,Y,10:00:00,18:00:00
NB Branson,0901658_001,07/04/2017,Y,10:00:00,18:00:00
NB Branson,0901658_001,09/04/2017,Y,10:00:00,18:00:00
NB Branson,0901658_001,11/23/2017,N,,
NB Branson,0901658_001,12/24/2017,Y,09:00:00,18:00:00
NB Branson,0901658_001,12/25/2017,N,,
NB Branson,0901658_001,12/31/2017,Y,10:00:00,18:00:00
NB St. Louis Olive Blvd.,0901206_001,01/01/2018,N,,
NB St. Louis Olive Blvd.,0901206_001,04/16/2018,N,,
NB St. Louis Olive Blvd.,0901206_001,05/29/2017,Y,10:00:00,16:00:00
NB St. Louis Olive Blvd.,0901206_001,07/04/2017,Y,10:00:00,16:00:00
NB St. Louis Olive Blvd.,0901206_001,09/04/2017,Y,10:00:00,16:00:00
NB St. Louis Olive Blvd.,0901206_001,11/23/2017,N,,
NB St. Louis Olive Blvd.,0901206_001,12/24/2017,Y,10:00:00,16:00:00
NB St. Louis Olive Blvd.,0901206_001,12/25/2017,N,,
NB St. Louis Olive Blvd.,0901206_001,12/31/2017,Y,10:00:00,16:00:00
NB St. Louis Richmond Heights,0901662_001,01/01/2018,N,,
NB St. Louis Richmond Heights,0901662_001,04/16/2018,N,,
NB St. Louis Richmond Heights,0901662_001,05/29/2017,Y,10:00:00,16:00:00
NB St. Louis Richmond Heights,0901662_001,07/04/2017,Y,10:00:00,16:00:00
NB St. Louis Richmond Heights,0901662_001,09/04/2017,Y,10:00:00,16:00:00
NB St. Louis Richmond Heights,0901662_001,11/23/2017,N,,
NB St. Louis Richmond Heights,0901662_001,12/24/2017,Y,10:00:00,16:00:00
NB St. Louis Richmond Heights,0901662_001,12/25/2017,N,,
