ID,EmailId,UUID,LOCALE,VENDOR_ID,ACCOUNT,STORE,STATUS,NAME,ADDR1,ADDR2,CITY,STATE_PROV,POSTAL,PHONE,SPECIALTY,DEALER_TYPE,COUNTRY,KEY_ACCOUNT,SALES_REP1,SALES_REP2,CREDIT_REP,NB_MINIMUS_FLAG,ROBIS_FLAG,COMPANY,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LINE_SHOE,PRODUCT_LINE_APPAREL,CATEGORY_RUNNING,CATEGORY_WALKING,CATEGORY_TRAINING,CATEGORY_TENNIS,SUBCATEGORY_KIDS,DUNHAM,ARAVON,COBB_HILL,CATEGORY_FOOTBALL,CATEGORY_CRICKET,CATEGORY_LIFESTYLE,PF_FLYERS,InventoryOrganizationCode,ParentOrganizationCode,PrimaryEnterpriseKey,DefaultDistributionRuleId,OwnerKey
2955,abc123@gmail.com,9699601_403,en_US_EST,,9699903,1,active,NEW BALANCE NEW YORK,150 5TH AVE,,NEW YORK,NY,10011,212-727-2520,,Corporate Store,In,,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,11:00am,7:00pm,,,,,,,,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
2956,Boston-4004@newbalance.com,9699601_404,en_US_EST,,9699904,1,active,NEW BALANCE BOSTON,583 BOYLSTON STREET,,BOSTON,MA,2116,617-266-1583,,Corporate Store,In,,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,11:00am,7:00pm,,,,,,,,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
3716,Philadelphia-4006@newbalance.com,9699601_406,en_US_EST,,9699601,4005,active,NEW BALANCE PHILADELPHIA,1615 Walnut Street,,Philadelphia,PA,19103,267-330-0490,,Corporate Store,US,,,,,,,10,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,10:00am,9:00pm,11:00am,7:00pm,,,,,,,,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
19185,Burlington-4501@newbalance.com,9699601_451,en_US_EST,,9699601451,9699601451,active,New Balance Life Burlington,75 Middlesex Turnpike,Suit # 1062,Burlington,MA,1803,781-221-1606,,New Balance Store,US,,,,,,,10,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,6:00 PM,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
19245,NYC-4003@newbalance.com,9699601_407,en_US_EST,,9699601,407,active,New Balance New York Il,1172 3rd Ave,,New York,New York,10065,212-452-3429,,Inline,US,,,,,,,10,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,11:00 AM,7:00 PM,,,,,,,,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
19270,NBHQ-4008@newbalance.com,9699601_408,en_US_EST,,9699601,408,active,New Balance Global Flagship Boston Landing,140 Guest St,,Boston,MA,2135,857-316-2130,,,US,,,,,,,10,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,11:00 AM,6:00 PM,,,,,,,,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
766,NBL.0310702@gmail.com,0310702_001,en_US_CST,,310702,1,active,NEW BALANCE DALLAS,4017 NORTHWEST PARKWAY,,DALLAS,TX,75225,(214) 696-4313,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
767,NBL.0310704@gmail.com,0310704_001,en_US_CST,,310704,1,active,NEW BALANCE ARLINGTON,3751 MATLOCK ROAD,SUITE 101,ARLINGTON,TX,76015,(817) 466-3882,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
768,NBL.0310706@gmail.com,0310706_001,en_US_CST,,310706,1,active,NEW BALANCE FRISCO,8300 GAYLORD PARKWAY,SUITE 4,FRISCO,TX,75034,(214) 618-4442,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
769,NBL.0310708@gmail.com,0310708_001,en_US_CST,,310708,1,active,NEW BALANCE SOUTHLAKE,2704 EAST SOUTHLAKE BOULEVARD,SUITE 100,SOUTHLAKE,TX,76092,(817) 749-0177,,New Balance Store,US,Procare,,,,,,10,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,7:00pm,10:00am,6:00pm,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,NB_US,NB_STORES,NB_STORES,NB_DG,NB_US
